	Indole_production	Methyl_red	Voges-Proskauer	Citrate	Hydrogen_Sulfide_TSI	Urea_hydrolysis	Phenylanine_deaminase	Lysine_deaminase	Arginine_dihydrolase	Ornithine_decarboxylase	Motility	Gelatin_hydrolysis_22_c	Growth_in_KCN	Malonate_utilization	D-Glucose_acid	D-Glucose_Gas	Lactose_fermentation	Sucrose_fermentation	D-Mannitol_fermentation	Dulcitol_fermentation	Salicin_fermentation	Adonitol_fermentation	myo-Inositol_fermentation	D-Sorbitol_fermentation	L-Arabinose_fermentation	Raffinose_fermentation	L-Rhamnose_fermentation	Maltose_fermentation	D-Xylose_fermentation	Trehalose_fermentation	Cellobiose_fermentation	alpha-Methyl-D-glucoside_fermentation	Erythritol_fermentation	Esculin_hydrolysis	Melibiose_fermentation	D-Arabitol_fermentation	Glycerol_fermentation	Mucate_fermentation	Tartrate_Jordans	Acetate_utilization	Lipase_corn_oil	DNase_25_c	Nitrate_to_nitrite	Oxidase_Kovacs	ONPG_test	Yellow_pigment_25_c	D-Mannose_fermentation	Tyrosine_hydrolysis
A.dalhousiensis	0	100	0	85	0	70	0	100	0	85	100	0	100	85	100	85	30	0	100	85	100	0	0	100	100	0	100	100	100	100	100	55	0	0	0	0	30	0	60	45	0	0	100	0	100	0	100	0
B.aquatica	0	93	0	0	80	33	0	0	0	0	27	0	0	0	100	53	87	0	60	0	0	0	0	0	80	0	100	0	93	0	0	0	0	0	0	27	0	20	27	0	0	0	100	0	93	0	0	0
B.agrestic	0	100	0	100	0	0	0	0	0	100	100	0	80	60	100	100	100	0	100	0	100	0	0	0	100	100	100	100	100	100	100	0	0	100	100	0	60	100	60	0	0	0	100	0	100	0	100	0
B.brennerae	0	100	0	0	0	0	0	0	0	33	100	0	100	100	100	100	0	0	100	0	100	67	0	0	100	100	33	100	100	100	100	0	0	100	100	67	67	67	0	0	0	0	100	0	100	0	100	0
B.ferragutiae	0	100	0	0	0	0	0	100	0	80	60	0	40	0	100	100	0	0	100	0	100	0	0	100	100	0	100	100	100	100	100	40	0	100	0	0	0	60	0	0	0	0	100	0	100	0	100	0
B.gaviniae	0	100	0	20	0	0	0	0	20	0	80	0	60	100	100	40	60	0	100	0	100	100	0	0	100	0	100	60	100	100	100	0	0	100	0	80	0	80	40	0	0	0	100	0	100	0	100	0
B.izardii	0	100	0	0	0	0	0	0	0	100	100	0	67	100	100	100	100	0	100	0	100	0	0	0	100	33	100	100	100	100	100	0	0	100	67	0	33	100	67	0	0	0	100	0	100	0	100	0
B.noackiae	33	100	0	33	0	0	100	0	67	0	100	0	100	100	100	100	0	0	100	0	100	0	0	0	100	0	100	100	100	100	100	33	0	100	0	0	0	100	100	0	0	0	100	0	100	0	100	0
B.warmboldiae	0	100	0	33	0	0	100	0	0	0	100	0	33	100	100	100	0	0	100	0	100	0	67	0	100	0	100	100	100	100	100	0	0	100	0	0	0	0	0	0	0	0	100	0	100	0	100	0
C.davisae	0	100	50	95	0	0	0	0	50	95	95	0	86	91	100	70	19	100	100	0	99	0	0	0	0	10	0	100	100	100	100	5	0	45	0	100	0	0	0	0	91	0	100	0	90	0	100	0
C.lapagei	0	40	80	99	0	0	0	0	80	0	80	0	100	99	100	100	60	0	100	0	100	0	0	0	0	0	0	100	0	100	100	0	0	100	0	100	0	0	0	60	100	0	100	0	99	0	100	0
C.neteri	0	100	50	100	0	0	0	0	100	0	100	0	65	100	100	100	35	100	100	0	100	0	0	100	0	0	0	100	100	100	100	0	0	100	0	100	0	0	0	0	100	0	100	0	100	0	100	0
C.species_3	0	100	50	100	0	0	0	0	100	0	100	0	100	0	100	100	0	50	100	0	100	0	0	0	0	100	0	100	100	100	100	50	0	100	100	100	0	0	0	50	100	0	100	0	100	0	100	0
C.species_5	0	100	50	100	0	0	0	0	50	50	100	0	100	0	100	100	0	100	100	0	100	0	0	100	0	100	0	100	100	100	100	0	0	100	100	100	0	0	0	50	50	0	100	0	100	0	100	0
C.freundii	33	100	0	78	78	44	0	0	67	0	89	0	89	11	100	89	78	89	100	11	0	0	0	100	100	44	100	100	89	100	44	11	0	0	100	0	100	100	100	44	0	0	100	0	89	0	100	0
