	Indole	MR	VP	Citrate	H2S	Urea	PD	AR	LD	OD	Motility	Gelatin	KCN	Malonate	GlucoseAcid	GulcoseGas	D-Adonitol	L-Arabinose	D-Arabitol	Cellobiose	Dulcitol	Erythritol	Galactose	Glycerol	myo-Inositol	Lactose	Maltose	D-Mannitol	D-Mannose	Melibiose	Methyl-D-glucoside	Raffinose	L-Rhamnose	Salicin	D-Sorbitol	Sucrose	Trehalose	D-Xylose	Mucate-Acid-production	Tartate-Jordan	Esculin-Hydrolysis	Acetate-Utilization	Nitrate	Oxidase	Dnase	Lipase	ONPG	Yellow-pigment	Tyrosine-clearing	0%	1%	6%	8%	10%	12%	Swarming	String-test	O129	PolymyxinB
V.cholerae	99	99	75	97	0	0	0	0	99	99	99	90	10	1	100	0	0	0	0	8	0	0	90	30	0	7	99	99	78	1	0	0	0	1	1	100	99	0	1	75	0	92	99	100	93	92	94	0	13	100	100	53	1	0	0	0	100	99	22
V.mimicus	98	99	9	99	0	1	0	0	100	99	98	65	2	0	100	0	0	1	0	0	0	0	82	13	0	21	99	99	99	0	0	0	0	0	0	0	94	0	0	12	0	78	100	100	55	17	90	0	30	100	100	49	0	0	0	0	100	95	88
V.metschnikovii	20	96	96	75	0	0	0	60	35	0	74	65	0	0	100	0	0	0	0	9	0	0	45	100	40	50	100	96	100	0	25	0	0	9	45	100	100	0	0	35	60	25	0	0	50	100	50	0	5	0	100	78	44	4	0	0	100	90	100
V.cincinnatiensis	8	93	0	21	0	0	0	0	57	0	86	0	0	0	100	0	0	100	0	100	0	0	100	100	100	0	100	100	100	7	57	0	0	100	0	100	100	43	0	0	0	14	100	100	79	36	86	0	0	0	100	100	62	0	0	100	80	25	92
V.holisae	97	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	97	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	65	0	0	100	100	0	0	0	0	3	0	99	83	0	0	0	0	100	40	100
V.damsela	0	100	95	0	0	0	0	95	50	0	25	6	5	0	100	10	0	0	0	0	0	0	90	0	0	0	100	0	100	0	5	0	0	0	0	5	86	0	0	0	0	0	100	95	75	0	0	0	0	0	100	95	0	0	0	0	80	90	85
V.fluvialis	13	96	0	93	0	0	0	93	0	0	70	85	65	0	100	0	0	93	65	30	0	0	96	7	0	3	100	97	100	3	0	0	0	0	3	100	100	0	0	35	8	70	100	100	100	90	40	0	65	0	99	96	71	4	0	0	100	31	100
V.furnissii	11	100	0	100	0	0	0	100	0	0	89	86	89	11	100	100	0	100	89	11	0	0	100	55	0	0	100	100	100	11	0	11	45	0	0	100	100	0	0	22	0	65	100	100	100	89	35	0	45	0	99	100	78	0	0	0	100	0	89
V.alginolyticus	85	75	95	1	0	0	1	0	99	50	99	90	15	0	100	0	1	1	0	3	0	0	20	80	0	0	100	100	99	1	1	0	0	4	1	99	100	0	0	95	3	0	100	100	95	85	0	0	70	0	99	100	94	69	17	100	91	19	63
V.parahaemolyticus	98	80	0	3	0	15	1	0	100	95	99	95	20	0	100	0	0	80	0	5	3	0	92	50	0	1	99	100	100	1	0	0	1	1	1	1	99	0	0	93	1	1	100	100	92	90	5	0	77	0	100	99	80	2	1	100	64	20	54
V.vulnificus	97	80	0	75	0	1	35	0	99	55	99	75	1	0	100	0	0	0	0	99	0	0	96	1	0	85	100	45	98	40	0	0	0	95	0	15	100	0	0	84	40	7	100	100	50	92	75	0	75	0	99	65	0	0	0	0	100	98	3
V.carchariae	100	100	50	0	0	0	0	0	100	0	0	0	0	0	50	0	0	0	0	50	0	0	0	0	0	0	100	50	50	0	0	0	0	0	0	50	50	0	0	50	0	0	100	100	100	0	0	0	0	0	100	100	0	0	0	100	100	100	100
